Kategorie: Alle Kategorien

Woche,Stepstone: (Deutschland)
2018-11-25,79
2018-12-02,76
2018-12-09,70
2018-12-16,66
2018-12-23,43
2018-12-30,73
2019-01-06,99
2019-01-13,100
2019-01-20,92
2019-01-27,93
2019-02-03,91
2019-02-10,100
2019-02-17,95
2019-02-24,89
2019-03-03,90
2019-03-10,91
2019-03-17,99
2019-03-24,91
2019-03-31,85
2019-04-07,86
2019-04-14,76
2019-04-21,78
2019-04-28,79
2019-05-05,88
2019-05-12,85
2019-05-19,89
2019-05-26,72
2019-06-02,81
2019-06-09,75
2019-06-16,77
2019-06-23,82
2019-06-30,81
2019-07-07,83
2019-07-14,81
2019-07-21,74
2019-07-28,72
2019-08-04,75
2019-08-11,76
2019-08-18,79
2019-08-25,76
2019-09-01,76
2019-09-08,76
2019-09-15,75
2019-09-22,74
2019-09-29,70
2019-10-06,79
2019-10-13,80
2019-10-20,81
2019-10-27,71
2019-11-03,73
2019-11-10,78
2019-11-17,79
2019-11-24,68
2019-12-01,69
2019-12-08,68
2019-12-15,65
2019-12-22,35
2019-12-29,51
2020-01-05,86
2020-01-12,83
2020-01-19,83
2020-01-26,87
2020-02-02,89
2020-02-09,89
2020-02-16,94
2020-02-23,86
2020-03-01,87
2020-03-08,79
2020-03-15,49
2020-03-22,52
2020-03-29,53
2020-04-05,48
2020-04-12,53
2020-04-19,54
2020-04-26,57
2020-05-03,62
2020-05-10,64
2020-05-17,58
2020-05-24,64
2020-05-31,56
2020-06-07,62
2020-06-14,69
2020-06-21,65
2020-06-28,74
2020-07-05,70
2020-07-12,74
2020-07-19,67
2020-07-26,69
2020-08-02,67
2020-08-09,68
2020-08-16,71
2020-08-23,68
2020-08-30,69
2020-09-06,71
2020-09-13,70
2020-09-20,80
2020-09-27,77
2020-10-04,78
2020-10-11,75
2020-10-18,73
2020-10-25,68
2020-11-01,68
2020-11-08,71
2020-11-15,70
2020-11-22,63
2020-11-29,64
2020-12-06,57
2020-12-13,50
2020-12-20,41
2020-12-27,50
2021-01-03,73
2021-01-10,71
2021-01-17,74
2021-01-24,70
2021-01-31,69
2021-02-07,64
2021-02-14,69
2021-02-21,70
2021-02-28,72
2021-03-07,64
2021-03-14,64
2021-03-21,60
2021-03-28,56
2021-04-04,58
2021-04-11,64
2021-04-18,65
2021-04-25,74
2021-05-02,62
2021-05-09,53
2021-05-16,61
2021-05-23,58
2021-05-30,56
2021-06-06,61
2021-06-13,56
2021-06-20,58
2021-06-27,62
2021-07-04,64
2021-07-11,59
2021-07-18,61
2021-07-25,61
2021-08-01,62
2021-08-08,58
2021-08-15,62
2021-08-22,66
2021-08-29,66
2021-09-05,66
2021-09-12,72
2021-09-19,69
2021-09-26,70
2021-10-03,74
2021-10-10,80
2021-10-17,82
2021-10-24,82
2021-10-31,71
2021-11-07,71
2021-11-14,74
2021-11-21,65
2021-11-28,72
2021-12-05,69
2021-12-12,66
2021-12-19,60
2021-12-26,58
2022-01-02,76
2022-01-09,82
2022-01-16,74
2022-01-23,81
2022-01-30,78
2022-02-06,87
2022-02-13,71
2022-02-20,71
2022-02-27,63
2022-03-06,70
2022-03-13,66
2022-03-20,66
2022-03-27,73
2022-04-03,64
2022-04-10,60
2022-04-17,59
2022-04-24,65
2022-05-01,67
2022-05-08,67
2022-05-15,65
2022-05-22,59
2022-05-29,67
2022-06-05,66
2022-06-12,62
2022-06-19,71
2022-06-26,69
2022-07-03,75
2022-07-10,75
2022-07-17,66
2022-07-24,69
2022-07-31,76
2022-08-07,69
2022-08-14,71
2022-08-21,70
2022-08-28,80
2022-09-04,74
2022-09-11,71
2022-09-18,72
2022-09-25,78
2022-10-02,70
2022-10-09,76
2022-10-16,73
2022-10-23,76
2022-10-30,76
2022-11-06,75
2022-11-13,74
2022-11-20,67
2022-11-27,72
2022-12-04,65
2022-12-11,62
2022-12-18,57
2022-12-25,47
2023-01-01,82
2023-01-08,79
2023-01-15,88
2023-01-22,87
2023-01-29,78
2023-02-05,74
2023-02-12,74
2023-02-19,80
2023-02-26,75
2023-03-05,75
2023-03-12,77
2023-03-19,77
2023-03-26,80
2023-04-02,65
2023-04-09,63
2023-04-16,71
2023-04-23,68
2023-04-30,62
2023-05-07,71
2023-05-14,55
2023-05-21,68
2023-05-28,60
2023-06-04,68
2023-06-11,68
2023-06-18,67
2023-06-25,70
