Kategorie: Alle Kategorien

Woche,Arbeitsamt: (Deutschland)
2018-11-25,47
2018-12-02,43
2018-12-09,42
2018-12-16,46
2018-12-23,32
2018-12-30,39
2019-01-06,53
2019-01-13,52
2019-01-20,55
2019-01-27,59
2019-02-03,53
2019-02-10,50
2019-02-17,48
2019-02-24,54
2019-03-03,46
2019-03-10,48
2019-03-17,47
2019-03-24,54
2019-03-31,53
2019-04-07,46
2019-04-14,36
2019-04-21,38
2019-04-28,43
2019-05-05,46
2019-05-12,44
2019-05-19,45
2019-05-26,45
2019-06-02,50
2019-06-09,40
2019-06-16,45
2019-06-23,53
2019-06-30,57
2019-07-07,55
2019-07-14,54
2019-07-21,45
2019-07-28,57
2019-08-04,49
2019-08-11,48
2019-08-18,49
2019-08-25,52
2019-09-01,53
2019-09-08,52
2019-09-15,53
2019-09-22,66
2019-09-29,62
2019-10-06,55
2019-10-13,51
2019-10-20,49
2019-10-27,46
2019-11-03,53
2019-11-10,50
2019-11-17,46
2019-11-24,50
2019-12-01,50
2019-12-08,43
2019-12-15,49
2019-12-22,30
2019-12-29,38
2020-01-05,62
2020-01-12,68
2020-01-19,65
2020-01-26,70
2020-02-02,58
2020-02-09,51
2020-02-16,53
2020-02-23,53
2020-03-01,53
2020-03-08,51
2020-03-15,100
2020-03-22,79
2020-03-29,66
2020-04-05,37
2020-04-12,38
2020-04-19,49
2020-04-26,45
2020-05-03,51
2020-05-10,54
2020-05-17,41
2020-05-24,53
2020-05-31,42
2020-06-07,39
2020-06-14,47
2020-06-21,45
2020-06-28,55
2020-07-05,45
2020-07-12,48
2020-07-19,44
2020-07-26,46
2020-08-02,42
2020-08-09,36
2020-08-16,43
2020-08-23,44
2020-08-30,47
2020-09-06,37
2020-09-13,43
2020-09-20,41
2020-09-27,47
2020-10-04,43
2020-10-11,36
2020-10-18,37
2020-10-25,42
2020-11-01,37
2020-11-08,37
2020-11-15,34
2020-11-22,34
2020-11-29,37
2020-12-06,33
2020-12-13,31
2020-12-20,24
2020-12-27,25
2021-01-03,36
2021-01-10,37
2021-01-17,37
2021-01-24,43
2021-01-31,44
2021-02-07,33
2021-02-14,36
2021-02-21,34
2021-02-28,38
2021-03-07,32
2021-03-14,34
2021-03-21,35
2021-03-28,31
2021-04-04,29
2021-04-11,30
2021-04-18,30
2021-04-25,33
2021-05-02,31
2021-05-09,25
2021-05-16,29
2021-05-23,27
2021-05-30,29
2021-06-06,30
2021-06-13,32
2021-06-20,33
2021-06-27,37
2021-07-04,36
2021-07-11,34
2021-07-18,34
2021-07-25,34
2021-08-01,36
2021-08-08,32
2021-08-15,32
2021-08-22,38
2021-08-29,42
2021-09-05,33
2021-09-12,35
2021-09-19,36
2021-09-26,38
2021-10-03,34
2021-10-10,36
2021-10-17,37
2021-10-24,33
2021-10-31,34
2021-11-07,35
2021-11-14,31
2021-11-21,31
2021-11-28,33
2021-12-05,31
2021-12-12,35
2021-12-19,28
2021-12-26,27
2022-01-02,36
2022-01-09,37
2022-01-16,35
2022-01-23,35
2022-01-30,39
2022-02-06,32
2022-02-13,32
2022-02-20,32
2022-02-27,34
2022-03-06,30
2022-03-13,32
2022-03-20,31
2022-03-27,34
2022-04-03,32
2022-04-10,26
2022-04-17,27
2022-04-24,37
2022-05-01,34
2022-05-08,30
2022-05-15,29
2022-05-22,28
2022-05-29,36
2022-06-05,30
2022-06-12,31
2022-06-19,33
2022-06-26,38
2022-07-03,36
2022-07-10,35
2022-07-17,33
2022-07-24,34
2022-07-31,34
2022-08-07,34
2022-08-14,34
2022-08-21,35
2022-08-28,40
2022-09-04,37
2022-09-11,31
2022-09-18,34
2022-09-25,38
2022-10-02,31
2022-10-09,33
2022-10-16,33
2022-10-23,34
2022-10-30,31
2022-11-06,34
2022-11-13,30
2022-11-20,30
2022-11-27,35
2022-12-04,31
2022-12-11,32
2022-12-18,30
2022-12-25,27
2023-01-01,35
2023-01-08,41
2023-01-15,41
2023-01-22,39
2023-01-29,44
2023-02-05,37
2023-02-12,35
2023-02-19,36
2023-02-26,41
2023-03-05,32
2023-03-12,37
2023-03-19,36
2023-03-26,39
2023-04-02,31
2023-04-09,29
2023-04-16,34
2023-04-23,38
2023-04-30,32
2023-05-07,32
2023-05-14,28
2023-05-21,34
2023-05-28,31
2023-06-04,31
2023-06-11,34
2023-06-18,35
2023-06-25,39
